2PA,2PM,Age,All TD,FGA,FGM,Fbl TD,GS,Games,Int TD,Kr Td,Number of Records,Oth TD,Pr Td,Player,Position,Pts/G,Pts,Rec TD,Rsh TD,Salary,Sfty,Team,XPA,XPM
,,,,,,,,,,,1,,,Sharif Finch,LB,,,,,480000,,TEN,,
,,,,,,,,,,,1,,,Cassanova McKinzy,LB,,,,,129200,,WAS,,
,,,,,,,,,,,1,,,Shaun Dion Hamilton,LB,,,,,480000,,WAS,,
,,,,,,,,,,,1,,,Reid Ferguson,LS,,,,,555000,,BUF,,
,,,,,,,,,,,1,,,Patrick Scales,LS,,,,,630000,,CHI,,
,,,,,,,,,,,1,,,Casey Kreiter,LS,,,,,630000,,DEN,,
,,,,,,,,,,,1,,,Hunter Bradley,LS,,,,,480000,,GNB,,
,,,,,,,,,,,1,,,Matt Overton,LS,,,,,557647,,JAX,,
,,,,,,,,,,,1,,,Thomas Hennessy,LS,,,,,555000,,NYJ,,
,,,,,,,,,,,1,,,Trent Sieg,LS,,,,,471765,,OAK,,
,,,,,,,,,,,1,,,Rick Lovato,LS,,,,,630000,,PHI,,
,,,,,,,,,,,1,,,Kameron Canaday,LS,,,,,630000,,PIT,,
,,,,,,,,,,,1,,,Tyler Ott,LS,,,,,630000,,SEA,,
,,,,,,,,,,,1,,,Robert Thomas,NT,,,,,592941,,BUF,,
,,,,,,,,,,,1,,,Antwaun Woods,NT,,,,,480000,,DAL,,
,,,,,,,,,,,1,,,David Parry,NT,,,,,630000,,MIN,,
,,,,,,,,,,,1,,,Jermaine Eluemunor,OG,,,,,555000,,BAL,,
,,,,,,,,,,,1,,,Wyatt Teller,OG,,,,,480000,,BUF,,
,,,,,,,,,,,1,,,Dion Dawkins,OG,,,,,655147,,BUF,,
,,,,,,,,,,,1,,,Christian Westerman,OG,,,,,630000,,CIN,,
,,,,,,,,,,,1,,,Sam Jones,OG,,,,,480000,,DEN,,
,,,,,,,,,,,1,,,Connor McGovern,OG,,,,,630000,,DEN,,
,,,,,,,,,,,1,,,Joe Dahl,OG,,,,,630000,,DET,,
,,,,,,,,,,,1,,,Graham Glasgow,OG,,,,,648500,,DET,,
,,,,,,,,,,,1,,,Braden Smith,OG,,,,,480000,,IND,,
,,,,,,,,,,,1,,,Quenton Nelson,OG,,,,,480000,,IND,,
,,,,,,,,,,,1,,,Dan Feeney,OG,,,,,634000,,LAC,,
,,,,,,,,,,,1,,,Isaac Asiata,OG,,,,,129200,,MIA,,
,,,,,,,,,,,1,,,Danny Isidora,OG,,,,,555000,,MIN,,
,,,,,,,,,,,1,,,Joe Thuney,OG,,,,,630000,,NWE,,
,,,,,,,,,,,1,,,Ted Karras,OG,,,,,630000,,NWE,,
,,,,,,,,,,,1,,,Will Hernandez,OG,,,,,480000,,NYG,,
,,,,,,,,,,,1,,,Jon Halapio,OG,,,,,555000,,NYG,,
,,,,,,,,,,,1,,,Denver Kirkland,OG,,,,,129200,,OAK,,
,,,,,,,,,,,1,,,Ian Silberman,OG,,,,,481767,,OAK,,
,,,,,,,,,,,1,,,Isaac Seumalo,OG,,,,,664000,,PHI,,
,,,,,,,,,,,1,,,Jonathan Cooper,OG,,,,,371765,,WAS,,
,,,,,,,,,,,1,,,Daniel Munyer,OL,,,,,555000,,ARI,,
,,,,,,,,,,,1,,,Desmond Harrison,OL,,,,,480000,,CLE,,
,,,,,,,,,,,1,,,Jimmy Murray,OL,,,,,129200,,KAN,,
,,,,,,,,,,,1,,,Zach Sterup,OL,,,,,555000,,MIA,,
,,,,,,,,,,,1,,,Mike Liedtke,OL,,,,,555000,,TAM,,
,,,,,,,,,,,1,,,Corey Levin,OL,,,,,555000,,TEN,,
,,,,,,,,,,,1,,,Martrell Spaight,OLB,,,,,259413,,2TM,,
,,,,,,,,,,,1,,,Nate Orchard,OLB,,,,,663529,,2TM,,
,,,,,,,,,,,1,,,Duke Riley,OLB,,,,,616500,,ATL,,
,,,,,,,,,,,1,,,De'Vondre Campbell,OLB,,,,,630000,,ATL,,
,,,,,,,,,,,1,,,Tim Williams,OLB,,,,,595000,,BAL,,
,,,,,,,,,,,1,,,Marquis Haynes,OLB,,,,,480000,,CAR,,
,,,,,,,,,,,1,,,Isaiah Irving,OLB,,,,,555000,,CHI,,
,,,,,,,,,,,1,,,Malik Jefferson,OLB,,,,,480000,,CIN,,
,,,,,,,,,,,1,,,Joe Schobert,OLB,,,,,630000,,CLE,,
,,,,,,,,,,,1,,,Leighton Vander Esch,OLB,,,,,480000,,DAL,,
,,,,,,,,,,,1,,,Joseph Jones,OLB,,,,,555000,,DEN,,
,,,,,,,,,,,1,,,Su'a Cravens,OLB,,,,,651408,,DEN,,
,,,,,,,,,,,1,,,Jalen Reeves-Maybin,OLB,,,,,555000,,DET,,
,,,,,,,,,,,1,,,Kyler Fackrell,OLB,,,,,648000,,GNB,,
,,,,,,,,,,,1,,,Zach Cunningham,OLB,,,,,668261,,HOU,,
,,,,,,,,,,,1,,,Carroll Phillips,OLB,,,,,457058,,IND,,
,,,,,,,,,,,1,,,Kemoko Turay,OLB,,,,,480000,,IND,,
,,,,,,,,,,,1,,,Skai Moore,OLB,,,,,480000,,IND,,
,,,,,,,,,,,1,,,Leon Jacobs,OLB,,,,,480000,,JAX,,
,,,,,,,,,,,1,,,Dorian O'Daniel,OLB,,,,,480000,,KAN,,
,,,,,,,,,,,1,,,Uchenna Nwosu,OLB,,,,,480000,,LAC,,
,,,,,,,,,,,1,,,Jatavis Brown,OLB,,,,,630000,,LAC,,
,,,,,,,,,,,1,,,Samson Ebukam,OLB,,,,,555000,,LAR,,
,,,,,,,,,,,1,,,Jerome Baker,OLB,,,,,480000,,MIA,,
,,,,,,,,,,,1,,,Tashawn Bower,OLB,,,,,555000,,MIN,,
,,,,,,,,,,,1,,,Stephen Weatherly,OLB,,,,,630000,,MIN,,
,,,,,,,,,,,1,,,Vince Biegel,OLB,,,,,555000,,NOR,,
,,,,,,,,,,,1,,,Alex Anzalone,OLB,,,,,610000,,NOR,,
,,,,,,,,,,,1,,,Ukeme Eligwe,OLB,,,,,359118,,NYG,,
,,,,,,,,,,,1,,,B.J. Goodson,OLB,,,,,630000,,NYG,,
,,,,,,,,,,,1,,,Kamu Grugier-Hill,OLB,,,,,630000,,PHI,,
,,,,,,,,,,,1,,,Matthew Thomas,OLB,,,,,480000,,PIT,,
,,,,,,,,,,,1,,,Shaquem Griffin,OLB,,,,,480000,,SEA,,
,,,,,,,,,,,1,,,Fred Warner,OLB,,,,,480000,,SFO,,
,,,,,,,,,,,1,,,Elijah Lee,OLB,,,,,555000,,SFO,,
,,,,,,,,,,,1,,,Devante Bond,OLB,,,,,407647,,TAM,,
,,,,,,,,,,,1,,,Harold Landry,OLB,,,,,480000,,TEN,,
,,,,,,,,,,,1,,,Aaron Wallace,OLB,,,,,630000,,TEN,,
,,,,,,,,,,,1,,,David Sharpe,OT,,,,,457059,,2TM,,
,,,,,,,,,,,1,,,Ereck Flowers,OT,,,,,497647,,2TM,,
,,,,,,,,,,,1,,,Oday Aboushi,OT,,,,,464710,,ARI,,
,,,,,,,,,,,1,,,Korey Cunningham,OT,,,,,480000,,ARI,,
,,,,,,,,,,,1,,,Wes Schweitzer,OT,,,,,630000,,ATL,,
,,,,,,,,,,,1,,,Orlando Brown,OT,,,,,480000,,BAL,,
,,,,,,,,,,,1,,,Alex Lewis,OT,,,,,630000,,BAL,,
,,,,,,,,,,,1,,,Conor McDermott,OT,,,,,555000,,BUF,,
,,,,,,,,,,,1,,,Jeremiah Sirles,OT,,,,,650588,,BUF,,
,,,,,,,,,,,1,,,Taylor Moton,OT,,,,,654007,,CAR,,
,,,,,,,,,,,1,,,Connor Williams,OT,,,,,480000,,DAL,,
,,,,,,,,,,,1,,,Elijah Wilkinson,OT,,,,,555000,,DEN,,
,,,,,,,,,,,1,,,Tyrell Crosby,OT,,,,,480000,,DET,,
,,,,,,,,,,,1,,,Martinas Rankin,OT,,,,,480000,,HOU,,
,,,,,,,,,,,1,,,Julie'n Davenport,OT,,,,,555000,,HOU,,
,,,,,,,,,,,1,,,Joe Haeg,OT,,,,,630000,,IND,,
,,,,,,,,,,,1,,,Le'Raven Clark,OT,,,,,653000,,IND,,
,,,,,,,,,,,1,,,Cole Toner,OT,,,,,555000,,LAC,,
,,,,,,,,,,,1,,,Sam Tevi,OT,,,,,555000,,LAC,,
,,,,,,,,,,,1,,,Joseph Noteboom,OT,,,,,480000,,LAR,,
,,,,,,,,,,,1,,,Wesley Johnson,OT,,,,,604118,,MIA,,
,,,,,,,,,,,1,,,Storm Norton,OT,,,,,129200,,MIN,,
,,,,,,,,,,,1,,,Brian O'Neill,OT,,,,,480000,,MIN,,
,,,,,,,,,,,1,,,Cole Croston,OT,,,,,129200,,NWE,,
,,,,,,,,,,,1,,,Trent Brown,OT,,,,,190700,,NWE,,
,,,,,,,,,,,1,,,Chad Wheeler,OT,,,,,555000,,NYG,,
,,,,,,,,,,,1,,,Brandon Shell,OT,,,,,630000,,NYJ,,
,,,,,,,,,,,1,,,Brandon Parker,OT,,,,,480000,,OAK,,
,,,,,,,,,,,1,,,Kolton Miller,OT,,,,,480000,,OAK,,
,,,,,,,,,,,1,,,Halapoulivaati Vaitai,OT,,,,,630000,,PHI,,
,,,,,,,,,,,1,,,Chukwuma Okorafor,OT,,,,,480000,,PIT,,
,,,,,,,,,,,1,,,Mike McGlinchey,OT,,,,,480000,,SFO,,
,,,,,,,,,,,1,,,Erik Magnuson,OT,,,,,555000,,SFO,,
,,,,,,,,,,,1,,,Alex Cappa,OT,,,,,480000,,TAM,,
,,,,,,,,,,,1,,,Caleb Benenoch,OT,,,,,630000,,TAM,,
,,,,,,,,,,,1,,,Geron Christian,OT,,,,,480000,,WAS,,
,,,,,,,,,,,1,,,Colton Schmidt,P,,,,,418235,,BUF,,
,,,,,,,,,,,1,,,Corey Bojorquez,P,,,,,480000,,BUF,,
,,,,,,,,,,,1,,,Michael Palardy,P,,,,,630000,,CAR,,
,,,,,,,,,,,1,,,Colby Wadman,P,,,,,367055,,DEN,,
,,,,,,,,,,,1,,,JK Scott,P,,,,,480000,,GNB,,
,,,,,,,,,,,1,,,Trevor Daniel,P,,,,,480000,,HOU,,
,,,,,,,,,,,1,,,Logan Cooke,P,,,,,480000,,JAX,,
,,,,,,,,,,,1,,,Matt Haack,P,,,,,555000,,MIA,,
,,,,,,,,,,,1,,,Matt Wile,P,,,,,555000,,MIN,,
,,,,,,,,,,,1,,,Riley Dixon,P,,,,,630000,,NYG,,
,,,,,,,,,,,1,,,Lac Edwards,P,,,,,630000,,NYJ,,
,,,,,,,,,,,1,,,Johnny Townsend,P,,,,,480000,,OAK,,
,,,,,,,,,,,1,,,Cameron Johnston,P,,,,,480000,,PHI,,
,,,,,,,,,,,1,,,Michael Dickson,P,,,,,480000,,SEA,,
,,,,,,,,,,,1,,,Josh Rosen,QB,,,,,480000,,ARI,,
,,,,,,,,,,,1,,,Lamar Jackson,QB,,,,,480000,,BAL,,
,,,,,,,,,,,1,,,Matt Barkley,QB,,,,,418235,,BUF,,
,,,,,,,,,,,1,,,Josh Allen,QB,,,,,480000,,BUF,,
,,,,,,,,,,,1,,,Nathan Peterman,QB,,,,,555000,,BUF,,
,,,,,,,,,,,1,,,Jeff Driskel,QB,,,,,630000,,CIN,,
,,,,,,,,,,,1,,,Baker Mayfield,QB,,,,,480000,,CLE,,
,,,,,,,,,,,1,,,Cooper Rush,QB,,,,,555000,,DAL,,
,,,,,,,,,,,1,,,Chad Kelly,QB,,,,,480000,,DEN,,
,,,,,,,,,,,1,,,Patrick Mahomes,QB,,,,,555000,,KAN,,
,,,,,,,,,,,1,,,Taysom Hill,QB,,,,,555000,,NOR,,
,,,,,,,,,,,1,,,Sam Darnold,QB,,,,,480000,,NYJ,,
,,,,,,,,,,,1,,,Carson Wentz,QB,,,,,630000,,PHI,,
,,,,,,,,,,,1,,,Joshua Dobbs,QB,,,,,555000,,PIT,,
,,,,,,,,,,,1,,,Nick Mullens,QB,,,,,129200,,SFO,,
,,,,,,,,,,,1,,,Chase Edmonds,RB,,,,,480000,,ARI,,
,,,,,,,,,,,1,,,T.J. Logan,RB,,,,,480000,,ARI,,
,,,,,,,,,,,1,,,Ito Smith,RB,,,,,480000,,ATL,,
,,,,,,,,,,,1,,,Brian Hill,RB,,,,,522353,,ATL,,
,,,,,,,,,,,1,,,De'Lance Turner,RB,,,,,129200,,BAL,,
,,,,,,,,,,,1,,,Gus Edwards,RB,,,,,129200,,BAL,,
,,,,,,,,,,,1,,,Kenneth Dixon,RB,,,,,630000,,BAL,,
,,,,,,,,,,,1,,,Marcus Murphy,RB,,,,,630000,,BUF,,
,,,,,,,,,,,1,,,Taquan Mizzell,RB,,,,,129200,,CHI,,
,,,,,,,,,,,1,,,Mark Walton,RB,,,,,480000,,CIN,,
,,,,,,,,,,,1,,,Thomas Rawls,RB,,,,,622065,,CIN,,
,,,,,,,,,,,1,,,Dontrell Hilliard,RB,,,,,129200,,CLE,,
,,,,,,,,,,,1,,,Nick Chubb,RB,,,,,480000,,CLE,,
,,,,,,,,,,,1,,,Phillip Lindsay,RB,,,,,480000,,DEN,,
,,,,,,,,,,,1,,,Royce Freeman,RB,,,,,480000,,DEN,,
,,,,,,,,,,,1,,,Kerryon Johnson,RB,,,,,480000,,DET,,
,,,,,,,,,,,1,,,Darius Jackson,RB,,,,,555000,,GNB,,
,,,,,,,,,,,1,,,Buddy Howell,RB,,,,,480000,,HOU,,
,,,,,,,,,,,1,,,Gregory Howell,RB,,,,,480000,,HOU,,
,,,,,,,,,,,1,,,Tyler Ervin,RB,,,,,630000,,HOU,,
,,,,,,,,,,,1,,,Jordan Wilkins,RB,,,,,480000,,IND,,
,,,,,,,,,,,1,,,Nyheim Hines,RB,,,,,480000,,IND,,
,,,,,,,,,,,1,,,Brandon Wilds,RB,,,,,129200,,JAX,,
,,,,,,,,,,,1,,,David Williams,RB,,,,,338824,,JAX,,
,,,,,,,,,,,1,,,Darrel Williams,RB,,,,,480000,,KAN,,
,,,,,,,,,,,1,,,Justin Jackson,RB,,,,,129200,,LAC,,
,,,,,,,,,,,1,,,Detrez Newsome,RB,,,,,480000,,LAC,,
,,,,,,,,,,,1,,,Justin Davis,RB,,,,,555000,,LAR,,
,,,,,,,,,,,1,,,Kalen Ballage,RB,,,,,480000,,MIA,,
,,,,,,,,,,,1,,,Mike Boone,RB,,,,,480000,,MIN,,
,,,,,,,,,,,1,,,Roc Thomas,RB,,,,,480000,,MIN,,
,,,,,,,,,,,1,,,Dwayne Washington,RB,,,,,518824,,NOR,,
,,,,,,,,,,,1,,,Jonathan Williams,RB,,,,,630000,,NOR,,
,,,,,,,,,,,1,,,Sony Michel,RB,,,,,480000,,NWE,,
,,,,,,,,,,,1,,,Saquon Barkley,RB,,,,,480000,,NYG,,
,,,,,,,,,,,1,,,Trenton Cannon,RB,,,,,480000,,NYJ,,
,,,,,,,,,,,1,,,James Conner,RB,,,,,578000,,PIT,,
,,,,,,,,,,,1,,,Keenan Reynolds,RB,,,,,451760,,SEA,,
,,,,,,,,,,,1,,,Rashaad Penny,RB,,,,,480000,,SEA,,
,,,,,,,,,,,1,,,Tre Madden,RB,,,,,630000,,SEA,,
,,,,,,,,,,,1,,,C.J. Prosise,RB,,,,,660000,,SEA,,
,,,,,,,,,,,1,,,Matthew Dayes,RB,,,,,261176,,SFO,,
,,,,,,,,,,,1,,,Raheem Mostert,RB,,,,,705000,,SFO,,
,,,,,,,,,,,1,,,Dare Ogunbowale,RB,,,,,129200,,TAM,,
,,,,,,,,,,,1,,,Ronald Jones,RB,,,,,480000,,TAM,,
,,,,,,,,,,,1,,,Shaun Wilson,RB,,,,,480000,,TAM,,
,,,,,,,,,,,1,,,Dalyn Dawkins,RB,,,,,129200,,TEN,,
,,,,,,,,,,,1,,,David Fluellen,RB,,,,,630000,,TEN,,
,,,,,,,,,,,1,,,Byron Marshall,RB,,,,,393000,,WAS,,
,,,,,,,,,,,1,,,Zeke Turner,S,,,,,480000,,ARI,,
,,,,,,,,,,,1,,,Rudy Ford,S,,,,,555000,,ARI,,
,,,,,,,,,,,1,,,Foyesade Oluokun,S,,,,,480000,,ATL,,
,,,,,,,,,,,1,,,Sharrod Neasman,S,,,,,518824,,ATL,,
,,,,,,,,,,,1,,,Brian Poole,S,,,,,630000,,ATL,,
,,,,,,,,,,,1,,,Dean Marlowe,S,,,,,129200,,BUF,,
,,,,,,,,,,,1,,,Will Parks,S,,,,,630000,,DEN,,
,,,,,,,,,,,1,,,Tracy Walker,S,,,,,480000,,DET,,
,,,,,,,,,,,1,,,Raven Greene,S,,,,,480000,,GNB,,
,,,,,,,,,,,1,,,Kentrell Brice,S,,,,,630000,,GNB,,
,,,,,,,,,,,1,,,Josh Jones,S,,,,,657428,,GNB,,
,,,,,,,,,,,1,,,George Odum,S,,,,,480000,,IND,,
,,,,,,,,,,,1,,,Corey Moore,S,,,,,630000,,IND,,
,,,,,,,,,,,1,,,Jarrod Wilson,S,,,,,630000,,JAX,,
,,,,,,,,,,,1,,,Kyzir White,S,,,,,480000,,LAC,,
,,,,,,,,,,,1,,,John Johnson,S,,,,,584000,,LAR,,
,,,,,,,,,,,1,,,Doug Middleton,S,,,,,630000,,NYJ,,
,,,,,,,,,,,1,,,Tre Sullivan,S,,,,,121600,,PHI,,
,,,,,,,,,,,1,,,Terrell Edmunds,S,,,,,480000,,PIT,,
,,,,,,,,,,,1,,,Marcell Harris,S,,,,,363000,,SFO,,
,,,,,,,,,,,1,,,Tarvarius Moore,S,,,,,480000,,SFO,,
,,,,,,,,,,,1,,,Troy Apke,S,,,,,480000,,WAS,,
,,,,,,,,,,,1,,,Eddie Pleasant,SS,,,,,511176,,ARI,,
,,,,,,,,,,,1,,,Jeremy Cash,SS,,,,,630000,,ARI,,
,,,,,,,,,,,1,,,Derrick Kindred,SS,,,,,630000,,CLE,,
,,,,,,,,,,,1,,,Xavier Woods,SS,,,,,555000,,DAL,,
,,,,,,,,,,,1,,,Dymonte Thomas,SS,,,,,555000,,DEN,,
,,,,,,,,,,,1,,,Ronnie Harrison,SS,,,,,480000,,JAX,,
,,,,,,,,,,,1,,,Jordan Lucas,SS,,,,,630000,,KAN,,
,,,,,,,,,,,1,,,Derwin James,SS,,,,,480000,,LAC,,
,,,,,,,,,,,1,,,Marqui Christian,SS,,,,,630000,,LAR,,
,,,,,,,,,,,1,,,Jayron Kearse,SS,,,,,630000,,MIN,,
,,,,,,,,,,,1,,,Obi Melifonwu,SS,,,,,261176,,NWE,,
,,,,,,,,,,,1,,,Jamal Adams,SS,,,,,555000,,NYJ,,
,,,,,,,,,,,1,,,Nathan Gerry,SS,,,,,555000,,PHI,,
,,,,,,,,,,,1,,,Shalom Luani,SS,,,,,121600,,SEA,,
,,,,,,,,,,,1,,,Tre Flowers,SS,,,,,480000,,SEA,,
,,,,,,,,,,,1,,,Tedric Thompson,SS,,,,,555000,,SEA,,
,,,,,,,,,,,1,,,Maurice Alexander,SS,,,,,604118,,SEA,,
,,,,,,,,,,,1,,,Adrian Colbert,SS,,,,,555000,,SFO,,
,,,,,,,,,,,1,,,Jordan Whitehead,SS,,,,,480000,,TAM,,
,,,,,,,,,,,1,,,Justin Evans,SS,,,,,701332,,TAM,,
,,,,,,,,,,,1,,,Josh Harvey-Clemons,SS,,,,,555000,,WAS,,
,,,,,,,,,,,1,,,Montae Nicholson,SS,,,,,555000,,WAS,,
,,,,,,,,,,,1,,,Blaine Clausell,T,,,,,555000,,ARI,,
,,,,,,,,,,,1,,,Jeremy Vujnovich,T,,,,,630000,,ARI,,
,,,,,,,,,,,1,,,John Wetzel,T,,,,,630000,,ARI,,
,,,,,,,,,,,1,,,Zane Beadles,T,,,,,484412,,ATL,,
,,,,,,,,,,,1,,,Bryan Witzmann,T,,,,,557647,,CHI,,
,,,,,,,,,,,1,,,Andrew Wylie,T,,,,,480000,,KAN,,
,,,,,,,,,,,1,,,Jeff Allen,T,,,,,511176,,KAN,,
,,,,,,,,,,,1,,,Trenton Scott,T,,,,,129200,,LAC,,
,,,,,,,,,,,1,,,Jesse Davis,T,,,,,555000,,MIA,,
,,,,,,,,,,,1,,,Rashod Hill,T,,,,,630000,,MIN,,
,,,,,,,,,,,1,,,Michael Ola,T,,,,,511181,,NOR,,
,,,,,,,,,,,1,,,Justin Murray,T,,,,,480000,,OAK,,
,,,,,,,,,,,1,,,Matt Feiler,T,,,,,555000,,PIT,,
,,,,,,,,,,,1,,,George Fant,T,,,,,630000,,SEA,,
,,,,,,,,,,,1,,,Tyler Marz,T,,,,,522353,,TEN,,
,,,,,,,,,,,1,,,Austin Howard,T,,,,,430588,,WAS,,
,,,,,,,,,,,1,,,John Phillips,TE,,,,,484416,,ARI,,
,,,,,,,,,,,1,,,Gabe Holmes,TE,,,,,630000,,ARI,,
,,,,,,,,,,,1,,,Eric Saubert,TE,,,,,555000,,ATL,,
,,,,,,,,,,,1,,,Hayden Hurst,TE,,,,,480000,,BAL,,
,,,,,,,,,,,1,,,Mark Andrews,TE,,,,,480000,,BAL,,
,,,,,,,,,,,1,,,Jason Croom,TE,,,,,480000,,BUF,,
,,,,,,,,,,,1,,,Ian Thomas,TE,,,,,480000,,CAR,,
,,,,,,,,,,,1,,,Chris Manhertz,TE,,,,,630000,,CAR,,
,,,,,,,,,,,1,,,Ben Braunecker,TE,,,,,630000,,CHI,,
,,,,,,,,,,,1,,,Matt Lengel,TE,,,,,444706,,CIN,,
,,,,,,,,,,,1,,,Mason Schreck,TE,,,,,480000,,CIN,,
,,,,,,,,,,,1,,,Dalton Schultz,TE,,,,,480000,,DAL,,
,,,,,,,,,,,1,,,Rico Gathers,TE,,,,,480000,,DAL,,
,,,,,,,,,,,1,,,Blake Jarwin,TE,,,,,555000,,DAL,,
,,,,,,,,,,,1,,,Brian Parker,TE,,,,,129200,,DEN,,
,,,,,,,,,,,1,,,Jake Butt,TE,,,,,480000,,DEN,,
,,,,,,,,,,,1,,,Matt LaCosse,TE,,,,,555000,,DEN,,
,,,,,,,,,,,1,,,Hakeem Valles,TE,,,,,555000,,DET,,
,,,,,,,,,,,1,,,Michael Roberts,TE,,,,,555000,,DET,,
,,,,,,,,,,,1,,,Robert Tonyan,TE,,,,,480000,,GNB,,
,,,,,,,,,,,1,,,Jordan Akins,TE,,,,,480000,,HOU,,
,,,,,,,,,,,1,,,Jordan Thomas,TE,,,,,480000,,HOU,,
,,,,,,,,,,,1,,,Mo Alie-Cox,TE,,,,,129200,,IND,,
,,,,,,,,,,,1,,,Erik Swoope,TE,,,,,555000,,IND,,
,,,,,,,,,,,1,,,David Grinnage,TE,,,,,129200,,JAX,,
,,,,,,,,,,,1,,,Deon Yelder,TE,,,,,282350,,KAN,,
,,,,,,,,,,,1,,,Alex Ellis,TE,,,,,555000,,KAN,,
,,,,,,,,,,,1,,,Sean Culkin,TE,,,,,555000,,LAC,,
,,,,,,,,,,,1,,,Johnny Mundt,TE,,,,,480000,,LAR,,
,,,,,,,,,,,1,,,Durham Smythe,TE,,,,,480000,,MIA,,
,,,,,,,,,,,1,,,Mike Gesicki,TE,,,,,480000,,MIA,,
,,,,,,,,,,,1,,,Tyler Conklin,TE,,,,,480000,,MIN,,
,,,,,,,,,,,1,,,Jacob Hollister,TE,,,,,555000,,NWE,,
,,,,,,,,,,,1,,,Garrett Dickerson,TE,,,,,129200,,NYG,,
,,,,,,,,,,,1,,,Scott Simonson,TE,,,,,705000,,NYG,,
,,,,,,,,,,,1,,,Christopher Herndon,TE,,,,,480000,,NYJ,,
,,,,,,,,,,,1,,,Jordan Leggett,TE,,,,,555000,,NYJ,,
,,,,,,,,,,,1,,,Dallas Goedert,TE,,,,,480000,,PHI,,
,,,,,,,,,,,1,,,Joshua Perkins,TE,,,,,555000,,PHI,,
,,,,,,,,,,,1,,,Jaylen Samuels,TE,,,,,480000,,PIT,,
,,,,,,,,,,,1,,,Tyrone Swoopes,TE,,,,,338820,,SEA,,
,,,,,,,,,,,1,,,Will Dissly,TE,,,,,480000,,SEA,,
,,,,,,,,,,,1,,,Darrell Daniels,TE,,,,,555000,,SEA,,
,,,,,,,,,,,1,,,Ross Dwelley,TE,,,,,129200,,SFO,,
,,,,,,,,,,,1,,,Cole Wick,TE,,,,,555000,,SFO,,
,,,,,,,,,,,1,,,Antony Auclair,TE,,,,,555000,,TAM,,
,,,,,,,,,,,1,,,Alan Cross,TE,,,,,630000,,TAM,,
,,,,,,,,,,,1,,,Anthony Firkser,TE,,,,,480000,,TEN,,
,,,,,,,,,,,1,,,MyCole Pruitt,TE,,,,,592941,,TEN,,
,,,,,,,,,,,1,,,Isaiah McKenzie,WR,,,,,261176,,2TM,,
,,,,,,,,,,,1,,,DeAndre Carter,WR,,,,,480000,,2TM,,
,,,,,,,,,,,1,,,Stacy Coley,WR,,,,,555000,,2TM,,
,,,,,,,,,,,1,,,Nick Williams,WR,,,,,697065,,2TM,,
,,,,,,,,,,,1,,,Christian Kirk,WR,,,,,480000,,ARI,,
,,,,,,,,,,,1,,,Trent Sherfield,WR,,,,,480000,,ARI,,
,,,,,,,,,,,1,,,Chad Williams,WR,,,,,581500,,ARI,,
,,,,,,,,,,,1,,,Deante Burton,WR,,,,,451760,,ATL,,
,,,,,,,,,,,1,,,Calvin Ridley,WR,,,,,480000,,ATL,,
,,,,,,,,,,,1,,,Russell Gage,WR,,,,,480000,,ATL,,
,,,,,,,,,,,1,,,Tim White,WR,,,,,129200,,BAL,,
,,,,,,,,,,,1,,,Janarion Grant,WR,,,,,480000,,BAL,,
,,,,,,,,,,,1,,,Cam Phillips,WR,,,,,129200,,BUF,,
,,,,,,,,,,,1,,,Ray-Ray McCloud,WR,,,,,480000,,BUF,,
,,,,,,,,,,,1,,,Robert Foster,WR,,,,,480000,,BUF,,
,,,,,,,,,,,1,,,D.J. Moore,WR,,,,,480000,,CAR,,
,,,,,,,,,,,1,,,Anthony Miller,WR,,,,,480000,,CHI,,
,,,,,,,,,,,1,,,Javon Wims,WR,,,,,480000,,CHI,,
,,,,,,,,,,,1,,,Auden Tate,WR,,,,,480000,,CIN,,
,,,,,,,,,,,1,,,Cody Core,WR,,,,,630000,,CIN,,
,,,,,,,,,,,1,,,Antonio Callaway,WR,,,,,480000,,CLE,,
,,,,,,,,,,,1,,,Damion Ratley,WR,,,,,480000,,CLE,,
,,,,,,,,,,,1,,,Derrick Willies,WR,,,,,480000,,CLE,,
,,,,,,,,,,,1,,,Breshad Perriman,WR,,,,,497647,,CLE,,
,,,,,,,,,,,1,,,Rod Streater,WR,,,,,697065,,CLE,,
,,,,,,,,,,,1,,,C.J. Goodwin,WR,,,,,129200,,DAL,,
,,,,,,,,,,,1,,,Lance Lenoir,WR,,,,,129200,,DAL,,
,,,,,,,,,,,1,,,Noah Brown,WR,,,,,378000,,DAL,,
,,,,,,,,,,,1,,,Michael Gallup,WR,,,,,480000,,DAL,,
,,,,,,,,,,,1,,,River Cracraft,WR,,,,,254115,,DEN,,
,,,,,,,,,,,1,,,Courtland Sutton,WR,,,,,480000,,DEN,,
,,,,,,,,,,,1,,,DaeSean Hamilton,WR,,,,,480000,,DEN,,
,,,,,,,,,,,1,,,Tim Patrick,WR,,,,,480000,,DEN,,
,,,,,,,,,,,1,,,Andy Jones,WR,,,,,378000,,DET,,
,,,,,,,,,,,1,,,Brandon Powell,WR,,,,,480000,,DET,,
,,,,,,,,,,,1,,,Trevor Davis,WR,,,,,393000,,GNB,,
,,,,,,,,,,,1,,,Equanimeous St. Brown,WR,,,,,480000,,GNB,,
,,,,,,,,,,,1,,,J'Mon Moore,WR,,,,,480000,,GNB,,
,,,,,,,,,,,1,,,Marquez Valdes-Scantling,WR,,,,,480000,,GNB,,
