2PA,2PM,Age,All TD,FGA,FGM,Fbl TD,GS,Games,Int TD,Kr Td,Number of Records,Oth TD,Pr Td,Player,Position,Pts/G,Pts,Rec TD,Rsh TD,Salary,Sfty,Team,XPA,XPM
,,,,,,,,,,,1,,,Anthony Zettel,DE,,,,,630000,,CLE,,
,,,,,,,,,,,1,,,Dorance Armstrong,DE,,,,,480000,,DAL,,
,,,,,,,,,,,1,,,Bradley Chubb,DE,,,,,480000,,DEN,,
,,,,,,,,,,,1,,,DeMarcus Walker,DE,,,,,695630,,DEN,,
,,,,,,,,,,,1,,,Da'Shawn Hand,DE,,,,,480000,,DET,,
,,,,,,,,,,,1,,,Romeo Okwara,DE,,,,,630000,,DET,,
,,,,,,,,,,,1,,,Duke Ejiofor,DE,,,,,480000,,HOU,,
,,,,,,,,,,,1,,,Tyquan Lewis,DE,,,,,363000,,IND,,
,,,,,,,,,,,1,,,Al-Quadin Muhammad,DE,,,,,555000,,IND,,
,,,,,,,,,,,1,,,Jihad Ward,DE,,,,,592941,,IND,,
,,,,,,,,,,,1,,,Dawuane Smoot,DE,,,,,640250,,JAX,,
,,,,,,,,,,,1,,,Breeland Speaks,DE,,,,,480000,,KAN,,
,,,,,,,,,,,1,,,Tanoh Kpassagnon,DE,,,,,636419,,KAN,,
,,,,,,,,,,,1,,,Isaac Rochell,DE,,,,,555000,,LAC,,
,,,,,,,,,,,1,,,Joey Bosa,DE,,,,,630000,,LAC,,
,,,,,,,,,,,1,,,John Franklin-Myers,DE,,,,,480000,,LAR,,
,,,,,,,,,,,1,,,Justin Lawler,DE,,,,,480000,,LAR,,
,,,,,,,,,,,1,,,Trevon Young,DE,,,,,480000,,LAR,,
,,,,,,,,,,,1,,,Matt Longacre,DE,,,,,705000,,LAR,,
,,,,,,,,,,,1,,,Jonathan Woodard,DE,,,,,129200,,MIA,,
,,,,,,,,,,,1,,,Cameron Malveaux,DE,,,,,367059,,MIA,,
,,,,,,,,,,,1,,,Jalyn Holmes,DE,,,,,480000,,MIN,,
,,,,,,,,,,,1,,,Marcus Davenport,DE,,,,,480000,,NOR,,
,,,,,,,,,,,1,,,Mitchell Loewen,DE,,,,,480000,,NOR,,
,,,,,,,,,,,1,,,Zach Wood,DE,,,,,555000,,NOR,,
,,,,,,,,,,,1,,,Trey Hendrickson,DE,,,,,578000,,NOR,,
,,,,,,,,,,,1,,,Deatrich Wise,DE,,,,,555000,,NWE,,
,,,,,,,,,,,1,,,Derek Rivers,DE,,,,,555000,,NWE,,
,,,,,,,,,,,1,,,Brian Mihalik,DE,,,,,444706,,NYG,,
,,,,,,,,,,,1,,,Lorenzo Carter,DE,,,,,480000,,NYG,,
,,,,,,,,,,,1,,,Arden Key,DE,,,,,480000,,OAK,,
,,,,,,,,,,,1,,,Fadol Brown,DE,,,,,480000,,OAK,,
,,,,,,,,,,,1,,,Shilique Calhoun,DE,,,,,489705,,OAK,,
,,,,,,,,,,,1,,,Josh Sweat,DE,,,,,480000,,PHI,,
,,,,,,,,,,,1,,,Branden Jackson,DE,,,,,129200,,SEA,,
,,,,,,,,,,,1,,,Ryan Delaire,DE,,,,,481767,,SFO,,
,,,,,,,,,,,1,,,Solomon Thomas,DE,,,,,555000,,SFO,,
,,,,,,,,,,,1,,,DeForest Buckner,DE,,,,,630000,,SFO,,
,,,,,,,,,,,1,,,Ronald Blair,DE,,,,,630000,,SFO,,
,,,,,,,,,,,1,,,Demone Harris,DE,,,,,129200,,TAM,,
,,,,,,,,,,,1,,,Matt Dickerson,DE,,,,,480000,,TEN,,
,,,,,,,,,,,1,,,Devaroe Lawrence,DL,,,,,480000,,CLE,,
,,,,,,,,,,,1,,,Trevon Coley,DL,,,,,555000,,CLE,,
,,,,,,,,,,,1,,,Tyler Lancaster,DL,,,,,129200,,GNB,,
,,,,,,,,,,,1,,,Keionta Davis,DL,,,,,480000,,NWE,,
,,,,,,,,,,,1,,,Adolphus Washington,DT,,,,,37059,,2TM,,
,,,,,,,,,,,1,,,Brian Price,DT,,,,,481765,,2TM,,
,,,,,,,,,,,1,,,Evander Hood,DT,,,,,537353,,2TM,,
,,,,,,,,,,,1,,,Garrison Smith,DT,,,,,630000,,ARI,,
,,,,,,,,,,,1,,,Olsen Pierre,DT,,,,,630000,,ARI,,
,,,,,,,,,,,1,,,Deadrin Senat,DT,,,,,480000,,ATL,,
,,,,,,,,,,,1,,,Justin Zimmer,DT,,,,,480000,,ATL,,
,,,,,,,,,,,1,,,Michael Bennett,DT,,,,,539118,,ATL,,
,,,,,,,,,,,1,,,Chris Wormley,DT,,,,,626000,,BAL,,
,,,,,,,,,,,1,,,Michael Pierce,DT,,,,,630000,,BAL,,
,,,,,,,,,,,1,,,Willie Henry,DT,,,,,630000,,BAL,,
,,,,,,,,,,,1,,,Harrison Phillips,DT,,,,,480000,,BUF,,
,,,,,,,,,,,1,,,Bilal Nichols,DT,,,,,480000,,CHI,,
,,,,,,,,,,,1,,,Josh Tupou,DT,,,,,555000,,CIN,,
,,,,,,,,,,,1,,,Ryan Glasgow,DT,,,,,555000,,CIN,,
,,,,,,,,,,,1,,,Andrew Billings,DT,,,,,630000,,CIN,,
,,,,,,,,,,,1,,,Larry Ogunjobi,DT,,,,,642500,,CLE,,
,,,,,,,,,,,1,,,Daniel Ross,DT,,,,,555000,,DAL,,
,,,,,,,,,,,1,,,Caraun Reid,DT,,,,,650594,,DAL,,
,,,,,,,,,,,1,,,Kerry Hyder,DT,,,,,555000,,DET,,
,,,,,,,,,,,1,,,Montravius Adams,DT,,,,,581000,,GNB,,
,,,,,,,,,,,1,,,Carlos Watkins,DT,,,,,555000,,HOU,,
,,,,,,,,,,,1,,,D.J. Reader,DT,,,,,630000,,HOU,,
,,,,,,,,,,,1,,,Joel Heath,DT,,,,,630000,,HOU,,
,,,,,,,,,,,1,,,Grover Stewart,DT,,,,,555000,,IND,,
,,,,,,,,,,,1,,,Taven Bryan,DT,,,,,480000,,JAX,,
,,,,,,,,,,,1,,,Eli Ankou,DT,,,,,555000,,JAX,,
,,,,,,,,,,,1,,,Derrick Nnadi,DT,,,,,480000,,KAN,,
,,,,,,,,,,,1,,,Justin Jones,DT,,,,,480000,,LAC,,
,,,,,,,,,,,1,,,Tanzel Smart,DT,,,,,555000,,LAR,,
,,,,,,,,,,,1,,,Dominique Easley,DT,,,,,705000,,LAR,,
,,,,,,,,,,,1,,,Jamiyus Pittman,DT,,,,,129200,,MIA,,
,,,,,,,,,,,1,,,Davon Godchaux,DT,,,,,555000,,MIA,,
,,,,,,,,,,,1,,,Vincent Taylor,DT,,,,,555000,,MIA,,
,,,,,,,,,,,1,,,Jaleel Johnson,DT,,,,,555000,,MIN,,
,,,,,,,,,,,1,,,Taylor Stallworth,DT,,,,,480000,,NOR,,
,,,,,,,,,,,1,,,David Onyemata,DT,,,,,630000,,NOR,,
,,,,,,,,,,,1,,,Jay Bromley,DT,,,,,697059,,NOR,,
,,,,,,,,,,,1,,,Adam Butler,DT,,,,,555000,,NWE,,
,,,,,,,,,,,1,,,R.J. McIntosh,DT,,,,,363000,,NYG,,
,,,,,,,,,,,1,,,B.J. Hill,DT,,,,,480000,,NYG,,
,,,,,,,,,,,1,,,Dalvin Tomlinson,DT,,,,,672823,,NYG,,
,,,,,,,,,,,1,,,Folorunso Fatukasi,DT,,,,,480000,,NYJ,,
,,,,,,,,,,,1,,,Nathan Shepherd,DT,,,,,480000,,NYJ,,
,,,,,,,,,,,1,,,Maurice Hurst,DT,,,,,480000,,OAK,,
,,,,,,,,,,,1,,,P.J. Hall,DT,,,,,480000,,OAK,,
,,,,,,,,,,,1,,,Treyvon Hester,DT,,,,,424412,,PHI,,
,,,,,,,,,,,1,,,Bruce Hector,DT,,,,,480000,,PHI,,
,,,,,,,,,,,1,,,Destiny Vaeao,DT,,,,,630000,,PHI,,
,,,,,,,,,,,1,,,Javon Hargrave,DT,,,,,691000,,PIT,,
,,,,,,,,,,,1,,,Poona Ford,DT,,,,,480000,,SEA,,
,,,,,,,,,,,1,,,Rasheem Green,DT,,,,,480000,,SEA,,
,,,,,,,,,,,1,,,Nazair Jones,DT,,,,,578000,,SEA,,
,,,,,,,,,,,1,,,Quinton Jefferson,DT,,,,,630000,,SEA,,
,,,,,,,,,,,1,,,Jullian Taylor,DT,,,,,480000,,SFO,,
,,,,,,,,,,,1,,,D.J. Jones,DT,,,,,555000,,SFO,,
,,,,,,,,,,,1,,,Sheldon Day,DT,,,,,630000,,SFO,,
,,,,,,,,,,,1,,,Vita Vea,DT,,,,,480000,,TAM,,
,,,,,,,,,,,1,,,Rakeem Nunez-Roches,DT,,,,,539118,,TAM,,
,,,,,,,,,,,1,,,Darius Kilgo,DT,,,,,630000,,TEN,,
,,,,,,,,,,,1,,,Da'Ron Payne,DT,,,,,480000,,WAS,,
,,,,,,,,,,,1,,,Tim Settle,DT,,,,,480000,,WAS,,
,,,,,,,,,,,1,,,Caleb Brantley,DT,,,,,555000,,WAS,,
,,,,,,,,,,,1,,,Matthew Ioannidis,DT,,,,,630000,,WAS,,
,,,,,,,,,,,1,,,Ricky Ortiz,FB,,,,,480000,,ATL,,
,,,,,,,,,,,1,,,Alex Armah,FB,,,,,555000,,CAR,,
,,,,,,,,,,,1,,,Derek Watt,FB,,,,,630000,,LAC,,
,,,,,,,,,,,1,,,Shane Smith,FB,,,,,555000,,NYG,,
,,,,,,,,,,,1,,,Chuck Clark,FS,,,,,555000,,BAL,,
,,,,,,,,,,,1,,,DeAndre Houston-Carson,FS,,,,,630000,,CHI,,
,,,,,,,,,,,1,,,Deon Bush,FS,,,,,630000,,CHI,,
,,,,,,,,,,,1,,,Jessie Bates,FS,,,,,480000,,CIN,,
,,,,,,,,,,,1,,,Clayton Fejedelem,FS,,,,,630000,,CIN,,
,,,,,,,,,,,1,,,Darian Thompson,FS,,,,,497647,,DAL,,
,,,,,,,,,,,1,,,Kavon Frazier,FS,,,,,630000,,DAL,,
,,,,,,,,,,,1,,,Michael Tyson,FS,,,,,391765,,HOU,,
,,,,,,,,,,,1,,,Justin Reid,FS,,,,,480000,,HOU,,
,,,,,,,,,,,1,,,Natrell Jamerson,FS,,,,,480000,,HOU,,
,,,,,,,,,,,1,,,Armani Watts,FS,,,,,480000,,KAN,,
,,,,,,,,,,,1,,,Rayshawn Jenkins,FS,,,,,555000,,LAC,,
,,,,,,,,,,,1,,,Maurice Smith,FS,,,,,129200,,MIA,,
,,,,,,,,,,,1,,,Minkah Fitzpatrick,FS,,,,,480000,,MIA,,
,,,,,,,,,,,1,,,Sean Chandler,FS,,,,,480000,,NYG,,
,,,,,,,,,,,1,,,Jordan Dangerfield,FS,,,,,555000,,PIT,,
,,,,,,,,,,,1,,,Delano Hill,FS,,,,,588000,,SEA,,
