Date,Open,High,Low,Close,Adj Close,Volume
1962-01-01,71.550003,71.959999,67.550003,68.839996,68.839996,80790000
1962-02-01,68.839996,71.129997,68.559998,69.959999,69.959999,66130000
1962-03-01,69.959999,71.440002,69.160004,69.550003,69.550003,68440000
1962-04-01,69.550003,69.820000,64.949997,65.239998,65.239998,65240000
1962-05-01,65.239998,66.930000,53.130001,59.630001,59.630001,111030000
1962-06-01,59.630001,59.959999,51.349998,54.750000,54.750000,100160000
1962-07-01,54.750000,58.669998,54.470001,58.230000,58.230000,74160000
1962-08-01,58.230000,60.330002,56.759998,59.119999,59.119999,80400000
1962-09-01,59.119999,59.540001,55.529999,56.270000,56.270000,62890000
1962-10-01,56.270000,57.830002,52.549999,56.520000,56.520000,78690000
1962-11-01,56.520000,62.779999,55.900002,62.259998,62.259998,96020000
1962-12-01,62.259998,63.500000,61.279999,63.099998,63.099998,80870000
1963-01-01,63.099998,66.589996,62.320000,66.199997,66.199997,101970000
1963-02-01,66.309998,66.959999,64.080002,64.290001,64.290001,79120000
1963-03-01,64.290001,67.010002,63.799999,66.570000,66.570000,74760000
1963-04-01,66.570000,70.180000,66.230003,69.800003,69.800003,106290000
1963-05-01,69.800003,71.139999,69.029999,70.800003,70.800003,105070000
1963-06-01,70.800003,71.239998,68.779999,69.370003,69.370003,90580000
1963-07-01,69.370003,70.480003,67.540001,69.129997,69.129997,76310000
1963-08-01,69.129997,72.709999,68.639999,72.500000,72.500000,91650000
1963-09-01,72.500000,73.870003,71.279999,71.699997,71.699997,106620000
1963-10-01,71.699997,75.180000,71.570000,74.010002,74.010002,122360000
1963-11-01,74.010002,74.440002,69.480003,73.230003,73.230003,93990000
1963-12-01,73.230003,75.360001,73.019997,75.019997,75.019997,98660000
1964-01-01,75.019997,77.779999,74.820000,77.040001,77.040001,116620000
1964-02-01,77.040001,78.309998,76.360001,77.800003,77.800003,88110000
1964-03-01,77.800003,79.889999,77.500000,78.980003,78.980003,113760000
1964-04-01,78.980003,81.199997,78.669998,79.459999,79.459999,123490000
1964-05-01,79.459999,81.809998,79.459999,80.370003,80.370003,99150000
1964-06-01,80.370003,82.099998,78.150002,81.690002,81.690002,96150000
1964-07-01,81.690002,84.330002,81.459999,83.180000,83.180000,102590000
1964-08-01,83.180000,83.489998,80.800003,81.830002,81.830002,82280000
1964-09-01,81.830002,84.800003,81.570000,84.180000,84.180000,109770000
1964-10-01,84.180000,85.699997,83.650002,84.860001,84.860001,106550000
1964-11-01,84.860001,86.800003,84.099998,84.419998,84.419998,93640000
1964-12-01,84.419998,85.180000,82.650002,84.750000,84.750000,104010000
1965-01-01,84.750000,88.190002,83.769997,87.559998,87.559998,109130000
1965-02-01,87.559998,88.059998,85.250000,87.430000,87.430000,112280000
1965-03-01,87.430000,87.930000,85.650002,86.160004,86.160004,124830000
1965-04-01,86.160004,89.639999,85.870003,89.110001,89.110001,119120000
1965-05-01,89.110001,90.680000,87.239998,88.419998,88.419998,110190000
1965-06-01,88.419998,88.800003,80.730003,84.120003,84.120003,128160000
1965-07-01,84.120003,86.470001,83.300003,85.250000,85.250000,85150000
1965-08-01,85.250000,87.790001,84.800003,87.169998,87.169998,109070000
1965-09-01,87.169998,91.129997,86.690002,89.959999,89.959999,155180000
1965-10-01,89.959999,93.190002,89.300003,92.419998,92.419998,164090000
1965-11-01,92.419998,93.300003,90.809998,91.610001,91.610001,147110000
1965-12-01,91.610001,93.070000,89.199997,92.430000,92.430000,191050000
1966-01-01,92.430000,94.639999,91.629997,92.879997,92.879997,182910000
1966-02-01,92.879997,94.720001,90.430000,91.220001,91.220001,165790000
1966-03-01,91.220001,91.650002,86.690002,89.230003,89.230003,191360000
1966-04-01,89.230003,93.019997,88.959999,91.059998,91.059998,186160000
1966-05-01,91.059998,91.750000,83.180000,86.129997,86.129997,171290000
1966-06-01,86.129997,87.739998,83.750000,84.739998,84.739998,140450000
1966-07-01,84.739998,88.190002,83.050003,83.599998,83.599998,119810000
1966-08-01,83.500000,84.699997,73.910004,77.099998,77.099998,162430000
1966-09-01,77.099998,80.809998,75.029999,76.559998,76.559998,120030000
1966-10-01,76.559998,80.910004,72.279999,80.199997,80.199997,146210000
1966-11-01,80.199997,83.010002,78.889999,80.449997,80.449997,145780000
1966-12-01,80.449997,83.879997,79.489998,80.330002,80.330002,165070000
1967-01-01,80.330002,88.169998,79.430000,86.610001,86.610001,207410000
1967-02-01,86.610001,89.000000,85.610001,86.779999,86.779999,182950000
1967-03-01,86.779999,91.720001,86.669998,90.199997,90.199997,224640000
1967-04-01,90.199997,94.769997,87.860001,94.010002,94.010002,187650000
1967-05-01,94.010002,95.250000,88.709999,89.080002,89.080002,218420000
1967-06-01,89.080002,93.279999,87.190002,90.639999,90.639999,212590000
1967-07-01,90.639999,95.510002,90.120003,94.750000,94.750000,216730000
1967-08-01,94.750000,96.669998,92.010002,93.639999,93.639999,207800000
1967-09-01,93.639999,98.309998,93.000000,96.709999,96.709999,204960000
1967-10-01,96.709999,98.250000,93.290001,93.300003,93.300003,224780000
1967-11-01,93.300003,95.510002,90.089996,94.000000,94.000000,211430000
1967-12-01,94.000000,96.900002,93.410004,96.470001,96.470001,229460000
1968-01-01,96.470001,97.839996,91.269997,92.239998,92.239998,262770000
1968-02-01,92.239998,93.440002,86.730003,89.360001,89.360001,174380000
1968-03-01,89.360001,91.089996,86.989998,90.199997,90.199997,192610000
1968-04-01,91.110001,98.610001,91.110001,97.459999,97.459999,295420000
1968-05-01,97.459999,100.190002,95.800003,98.680000,98.680000,291980000
1968-06-01,98.720001,102.839996,98.720001,99.580002,99.580002,257290000
1968-07-01,99.580002,103.669998,96.839996,97.739998,97.739998,242450000
1968-08-01,97.739998,99.669998,95.790001,98.860001,98.860001,193970000
1968-09-01,98.860001,103.629997,98.309998,102.669998,102.669998,228300000
1968-10-01,102.669998,105.779999,101.800003,103.410004,103.410004,272200000
1968-11-01,103.410004,109.089996,101.849998,108.370003,108.370003,251850000
1968-12-01,108.370003,109.370003,102.980003,103.860001,103.860001,267480000
1969-01-01,103.860001,104.870003,96.629997,103.010002,103.010002,266600000
1969-02-01,103.010002,104.610001,97.360001,98.129997,98.129997,207490000
1969-03-01,98.129997,102.349998,97.059998,101.510002,101.510002,199110000
1969-04-01,101.510002,104.559998,99.080002,103.690002,103.690002,236930000
1969-05-01,103.690002,106.739998,102.290001,103.459999,103.459999,256580000
1969-06-01,103.459999,103.750000,95.209999,97.709999,97.709999,235130000
1969-07-01,97.709999,100.330002,88.040001,91.830002,91.830002,228250000
1969-08-01,91.919998,96.430000,91.480003,95.510002,95.510002,201680000
1969-09-01,95.510002,96.620003,91.769997,93.120003,93.120003,219150000
1969-10-01,93.120003,98.830002,91.660004,97.120003,97.120003,310110000
1969-11-01,97.120003,99.230003,92.239998,93.809998,93.809998,213600000
1969-12-01,93.809998,94.470001,88.620003,92.059998,92.059998,272350000
1970-01-01,92.059998,94.250000,84.419998,85.019997,85.019997,221090000
1970-02-01,85.019997,90.330002,84.639999,89.500000,89.500000,228380000
1970-03-01,89.500000,91.070000,86.190002,89.629997,89.629997,212880000
1970-04-01,89.629997,90.699997,79.309998,81.519997,81.519997,223120000
1970-05-01,81.519997,82.320000,68.610001,76.550003,76.550003,258220000
1970-06-01,76.550003,79.959999,72.250000,72.720001,72.720001,226420000
1970-07-01,72.720001,79.029999,70.690002,78.050003,78.050003,227740000
1970-08-01,78.050003,82.470001,74.129997,81.519997,81.519997,218690000
1970-09-01,81.519997,84.989998,79.949997,84.300003,84.300003,303290000
